year,population,medicare_beneficiaries,medicare_percent,medicaid_eligibles,medicaid_percent
1-May-98,2861025,NA,NA,201313,7.04
1-May-99,2869413,487133,16.98,201006,7.01
1-May-00,2928184,485570,16.58,204110,6.97
1-May-01,2929424,488397,16.67,228955,7.82
1-May-02,2929264,491492,16.78,249443,8.52
1-May-03,2932799,493619,16.83,266737,9.09
1-May-04,2941358,496059,16.86,284918,9.69
1-May-05,2949450,499314,16.93,297943,10.1
1-May-06,2964391,502547,16.95,342425,11.55
1-May-07,2978719,498863,16.75,344580,11.57
1-May-08,2993987,504944,16.87,364146,12.16
1-May-09,3007856,508487,16.91,410151,13.64
1-May-10,3050321,513929,16.85,444724,14.58
1-May-11,3064097,519726,16.96,469411,15.32
1-May-12,3074186,531209,17.28,493824,16.06
1-May-13,3090416,NA,NA,508229,16.45
1-May-14,3107126,NA,NA,548478,17.65
