,January,February,March,April,May,June,July,August,September,October,November,December
County Name,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
Adair,40,21,25,30,24,14,19,14,14,30,27,36
Adams,28,15,12,9,13,5,3,4,12,9,22,18
Allamakee,2,80,42,13,4,2,4,4,3,10,2,3
Appanoose,29,18,11,6,11,16,0,4,4,19,10,20
Audubon,22,14,32,16,8,0,6,3,10,18,21,31
Benton,126,25,22,23,17,15,15,9,15,17,14,27
Black Hawk,217,135,129,99,128,91,81,96,96,99,110,123
Boone,33,13,25,30,39,39,19,11,15,17,9,11
Bremer,58,41,63,37,27,45,32,39,38,42,28,50
Buchanan,24,18,25,8,6,6,21,10,9,16,12,11
Buena Vista,26,14,39,19,13,14,10,16,14,5,22,0
Butler,38,34,51,27,28,10,13,17,18,43,29,23
Calhoun,54,44,50,43,43,43,19,19,0,28,14,32
Carroll,15,5,15,5,7,4,6,12,6,8,9,17
Cass,55,34,66,32,30,21,20,22,20,36,44,62
Cedar,7,3,6,5,6,4,2,2,5,7,8,2
Cerro Gordo,34,15,34,13,28,18,10,28,47,35,29,25
Cherokee,33,19,26,24,9,15,2,8,15,25,20,20
Chickasaw,10,6,11,11,3,3,3,29,10,11,8,10
Clarke,31,16,22,24,20,23,11,17,11,21,25,38
Clay,26,27,21,28,20,9,10,11,12,25,31,27
Clayton,8,5,1,3,2,0,0,5,1,3,5,2
Clinton,12,10,12,6,8,13,10,21,11,14,17,8
Crawford,176,2,3,3,0,0,0,3,0,0,0,0
Dallas,49,36,50,31,46,43,32,47,48,53,44,35
Davis,41,17,27,19,11,14,8,12,15,30,16,34
Decatur,76,20,13,19,3,0,9,6,4,0,14,201
Delaware,0,1,1,3,4,6,1,0,1,1,2,0
Des Moines,17,14,6,3,9,10,10,1,46,5,30,15
Dickinson,58,31,52,31,28,29,24,29,30,29,34,30
Dubuque,8,4,3,9,8,5,5,2,8,11,6,32
Emmet,10,5,3,10,1,2,0,4,1,2,7,7
Fayette,9,7,13,4,9,13,17,1,12,11,9,8
Floyd,29,15,17,20,40,5,9,10,0,16,17,19
Franklin,34,18,40,20,17,15,9,13,15,31,39,28
Fremont,0,16,37,13,5,4,4,6,6,10,17,36
Greene,13,13,13,5,4,7,0,3,10,6,7,11
Grundy,17,27,20,0,10,5,7,11,9,13,21,25
Guthrie,312,7,20,7,1,4,6,3,8,5,5,49
Hamilton,31,15,25,19,19,13,16,29,4,15,65,30
Hancock,20,5,19,9,4,5,2,8,11,14,8,10
Hardin,38,0,36,24,10,19,14,12,15,24,18,19
Harrison,92,107,54,53,29,32,39,37,38,55,52,58
Henry,58,26,27,30,15,14,17,12,11,20,13,16
Howard,5,0,3,1,1,1,1,0,1,2,3,1
Humboldt,53,31,24,38,16,17,7,9,13,9,9,18
Ida,21,20,49,36,33,7,9,9,22,12,3,15
Iowa,322,52,31,9,6,5,5,1,1,3,7,4
Jackson,209,2,17,11,5,1,1,1,1,1,0,77
Jasper,30,20,18,14,20,11,11,13,13,24,21,19
Jefferson,0,0,0,0,1,0,0,1,0,1,0,0
Johnson,30,27,25,13,18,22,8,11,16,25,27,13
Jones,66,9,7,9,7,7,5,5,18,12,11,19
Keokuk,60,0,0,0,0,0,0,0,0,60,174,0
Kossuth,34,23,25,16,15,11,2,0,15,6,10,28
Lee,8,2,4,1,1,0,0,3,0,0,6,26
Linn,58,0,49,33,67,25,22,20,41,30,29,32
Louisa,13,5,5,7,10,4,4,10,19,8,7,15
Lucas,90,37,2,0,12,3,6,13,22,34,10,53
Lyon,19,14,10,7,5,2,3,5,7,14,8,11
Madison,48,31,30,11,17,9,10,9,5,24,31,27
Mahaska,43,15,16,11,8,8,8,12,13,19,11,16
Marion,56,48,51,49,38,14,18,28,34,44,48,42
Marshall,32,42,42,24,52,26,16,30,21,32,30,43
Mills,28,21,40,24,10,5,12,0,29,10,14,38
Mitchell,0,13,10,4,4,30,15,15,17,20,23,25
Monona,61,32,29,0,0,0,16,13,13,18,17,0
Monroe,24,14,20,52,14,23,15,9,20,25,16,11
Montgomery,45,27,19,10,9,3,3,19,11,25,17,30
Muscatine,55,50,4,39,24,30,20,24,38,63,27,28
O'Brien,38,28,45,36,13,11,9,13,13,30,26,33
Osceola,16,22,16,15,8,5,3,5,5,21,15,11
Page,58,14,4,3,1,0,1,3,1,6,6,59
Palo Alto,17,8,13,8,7,4,8,11,5,18,17,0
Plymouth,24,30,31,27,17,11,10,13,16,14,26,33
Pocahontas,150,36,0,22,7,2,4,6,2,7,0,0
POLK,186,215,0,506,174,146,166,185,182,211,192,229
Pottawattamie,97,85,56,111,100,66,59,100,45,95,95,103
Poweshiek,89,56,49,34,39,22,22,25,34,53,48,50
Ringgold,47,17,14,12,4,9,6,19,31,0,33,46
Sac,29,25,35,30,50,22,0,13,50,41,29,31
Scott,34,28,23,20,25,29,25,22,18,23,19,34
Shelby,263,19,12,5,4,3,1,2,3,9,26,170
