Year,Iowa,Adair,Adams,Allamakee,Appanoose,Audubon,Benton,Black Hawk,Boone,Bremer,Buchanan,Buena Vista,Butler,Calhoun,Carroll,Cass,Cedar,Cerro Gordo,Cherokee,Chickasaw,Clarke,Clay,Clayton,Clinton,Crawford,Dallas,Davis,Decatur,Delaware,Des Moines,Dickinson,Dubuque,Emmet,Fayette,Floyd,Franklin,Fremont,Greene,Grundy,Guthrie,Hamilton,Hancock,Hardin,Harrison,Henry,Howard,Humboldt,Ida,Iowa,Jackson,Jasper,Jefferson,Johnson,Jones,Keokuk,Kossuth,Lee,Linn,Louisa,Lucas,Lyon,Madison,Mahaska,Marion,Marshall,Mills,Mitchell,Monona,Monroe,Montgomery,Muscatine,O'Brien,Osceola,Page,Palo Alto,Plymouth,Pocahontas,POLK,Pottawattamie,Poweshiek,Ringgold,Sac,Scott,Shelby,Sioux,Story,Tama,Taylor,Union,Van Buren,Wapello,Warren,Washington,Wayne,Webster,Winnebago,Winneshiek,Woodbury,Worth,Wright
2006,28169,294,150,169,148,181,325,1404,261,500,166,192,331,389,109,442,57,316,216,115,259,247,35,142,187,514,244,365,20,166,405,101,52,113,197,279,154,92,165,427,281,115,229,646,259,19,244,236,446,326,214,3,235,175,294,185,51,406,107,282,105,252,180,470,390,231,176,199,243,218,402,295,142,156,116,252,236,2392,1012,521,238,355,300,517,372,250,221,108,456,214,111,508,48,215,888,116,32,251,37,257
2007,28393,261,143,165,128,181,148,1344,311,443,180,201,348,467,115,419,80,321,217,93,249,248,33,157,284,571,230,273,21,152,389,93,47,127,202,278,163,83,176,484,307,111,306,556,257,19,243,216,443,338,240,6,245,135,454,212,75,397,89,310,111,218,159,467,385,218,191,342,234,228,480,309,140,121,127,244,235,2456,869,506,247,368,312,188,419,268,217,108,465,270,110,610,107,212,878,108,45,306,41,289
2008,29977,290,119,168,265,185,220,1448,277,492,183,233,395,458,156,440,123,344,229,101,276,257,37,194,208,685,238,321,31,211,362,97,38,133,224,303,186,98,184,382,308,127,288,543,205,25,257,194,138,232,240,16,276,176,100,230,70,415,93,351,171,316,161,505,357,197,212,331,226,216,509,288,137,140,115,251,249,2985,1058,587,249,374,391,153,399,300,230,128,382,245,129,781,86,280,972,112,48,479,46,300
2009,36265,283,116,231,244,200,311,1676,363,473,209,246,455,560,186,489,160,433,245,106,309,286,85,264,210,883,236,416,65,267,340,105,45,151,216,322,217,143,192,387,405,173,292,556,225,28,282,238,131,291,288,28,385,342,250,263,105,1125,128,324,162,397,192,554,445,377,293,383,230,208,591,313,135,187,225,389,259,3996,1226,645,230,415,645,356,393,370,248,166,523,296,129,782,103,258,963,134,61,670,64,257
2010,39405,306,246,208,267,246,425,1850,394,500,244,248,363,524,225,534,175,540,227,107,345,371,147,441,210,893,194,458,110,363,362,126,42,169,287,334,193,153,230,417,460,189,307,575,287,25,280,239,475,210,301,38,547,370,0,246,34,1433,207,397,120,450,217,669,497,428,257,484,243,205,659,290,156,270,217,317,259,3674,1357,637,358,367,684,650,419,390,256,157,567,252,135,740,175,222,1016,118,43,962,88,296
2011,101518,601,409,568,714,350,1109,3318,1042,938,719,527,726,648,1025,772,495,1260,762,408,538,615,581,1324,675,2382,605,364,558,1393,469,1610,270,600,504,469,303,1056,638,808,750,418,758,832,887,367,392,358,1042,797,1422,506,2270,999,760,630,1264,5298,570,488,269,1101,1069,1446,1335,563,413,516,441,476,1500,501,191,630,312,911,455,10884,3365,1024,487,657,4182,344,696,1956,876,400,898,536,1473,1862,958,452,1327,349,559,2394,197,552
2012,44411,162,129,164,232,72,587,1548,462,398,453,178,311,196,301,321,266,576,173,232,155,273,274,677,197,1089,175,124,386,696,237,794,134,323,221,185,147,131,232,286,219,191,323,384,388,117,166,119,318,272,515,182,1277,377,223,240,475,3020,162,152,124,363,381,532,546,336,198,166,189,230,682,225,103,378,217,479,153,5420,1305,294,74,178,2889,322,394,908,307,108,214,196,544,722,233,81,528,146,305,1035,121,168
2013,52478,158,102,237,299,125,581,1523,596,586,509,462,327,198,287,454,377,575,263,220,188,382,394,675,282,1175,200,134,396,612,282,997,143,405,286,202,227,190,265,233,304,215,322,441,444,134,243,224,334,412,801,225,1314,427,238,320,650,3272,239,209,151,304,545,675,630,472,188,248,214,278,796,290,109,418,176,518,150,5962,2796,349,96,245,2522,302,398,1202,356,149,255,166,664,944,309,202,712,179,431,1401,132,229
2014,26845,104,52,120,157,53,323,839,315,315,194,164,105,88,141,174,168,410,113,106,101,143,104,368,175,698,95,55,148,393,160,636,84,129,106,90,80,95,106,123,164,103,160,222,178,62,113,80,217,130,444,122,812,179,145,149,306,1910,93,97,86,111,279,326,303,191,118,95,109,130,380,118,67,182,69,268,46,3771,948,151,49,95,1087,158,196,627,169,84,114,85,347,554,176,48,449,80,174,920,74,95
2015,28888,104,66,158,242,67,339,1134,358,311,191,182,129,71,164,198,204,465,105,133,104,132,88,402,163,671,79,144,160,389,177,818,72,191,142,101,93,91,116,122,162,117,180,184,202,52,78,62,273,153,491,177,842,222,267,148,516,2354,113,125,100,132,287,308,291,218,112,112,91,105,421,127,44,170,67,285,69,3741,977,201,54,132,1349,165,227,524,155,56,111,120,376,333,215,109,455,52,120,723,73,87
