year_month,concealed_adjusted,concealed_unadjusted
2006-01,2871,5245
2006-02,2341,2505
2006-03,2068,2440
2006-04,2324,2395
2006-05,2200,1879
2006-06,2290,1475
2006-07,2073,1320
2006-08,2236,1473
2006-09,2229,1770
2006-10,2351,2309
2006-11,2346,2338
2006-12,2138,3015
2007-01,2954,5198
2007-02,2214,2410
2007-03,2327,2842
2007-04,2384,2473
2007-05,2154,1871
2007-06,1876,1225
2007-07,2385,1541
2007-08,2055,1363
2007-09,2444,1926
2007-10,2260,2183
2007-11,2233,2183
2007-12,2273,3177
2008-01,1966,3206
2008-02,2679,2941
2008-03,2416,3054
2008-04,2364,2449
2008-05,2527,2253
2008-06,2574,1748
2008-07,2854,1861
2008-08,2500,1692
2008-09,2402,1868
2008-10,2490,2366
2008-11,2542,2449
2008-12,2931,4083
2009-01,2621,4012
2009-02,2576,2823
2009-03,2887,3752
2009-04,2865,2961
2009-05,3139,2852
2009-06,3584,2510
2009-07,2901,1870
2009-08,3285,2281
2009-09,3330,2570
2009-10,3121,2953
2009-11,2945,2835
2009-12,3538,4835
2010-01,2903,4268
2010-02,2727,3025
2010-03,2860,3847
2010-04,3238,3357
2010-05,4260,3855
2010-06,4065,2837
2010-07,3675,2330
2010-08,3333,2358
2010-09,3442,2617
2010-10,3468,3278
2010-11,3389,3307
2010-12,3258,4316
2011-01,13296,19196
2011-02,10995,12937
2011-03,12443,17724
2011-04,9002,9512
2011-05,8093,7081
2011-06,7480,5038
2011-07,7321,4543
2011-08,7125,5139
2011-09,6441,4800
2011-10,5502,5177
2011-11,5361,5262
2011-12,4023,5109
2012-01,3168,4486
2012-02,4034,5035
2012-03,3768,5559
2012-04,3412,3720
2012-05,3261,2777
2012-06,3303,2160
2012-07,3091,1881
2012-08,4052,2917
2012-09,3404,2458
2012-10,3849,3575
2012-11,4392,4267
2012-12,4477,5576
2013-01,6803,9679
2013-02,6312,8333
2013-03,5284,8025
2013-04,5288,6039
2013-05,4234,3616
2013-06,3621,2378
2013-07,3606,2231
2013-08,3412,2448
2013-09,2927,2106
2013-10,2811,2615
2013-11,2447,2337
2013-12,2199,2671
2014-01,1996,2698
2014-02,2106,2743
2014-03,2211,3310
2014-04,2281,2626
2014-05,2387,2026
2014-06,2381,1584
2014-07,2250,1431
2014-08,2256,1609
2014-09,2454,1792
2014-10,2428,2292
2014-11,2005,1943
2014-12,2270,2791
2015-01,2040,2699
2015-02,2343,3049
2015-03,2333,3461
2015-04,2484,2843
2015-05,2391,1990
2015-06,2717,1802
2015-07,3090,1987
2015-08,2795,1961
2015-09,3031,2203
2015-10,3174,2992
2015-11,3929,3901
