year_month,permit_unadjusted,permit_adjusted,long_gun_adjusted,handgun,long_gun
1999-01,5553,3812,3353,49,2538
1999-02,4459,3854,3399,60,2692
1999-03,4647,3672,3517,55,2984
1999-04,3687,3907,3554,70,2258
1999-05,2744,4097,3653,63,1594
1999-06,2730,4115,3691,53,1636
1999-07,2227,3732,3813,52,1854
1999-08,2866,4002,3840,49,2902
1999-09,3287,3737,3930,59,4845
1999-10,4121,3807,4152,48,6840
1999-11,3421,3387,4144,41,7507
1999-12,6271,3816,4326,50,7721
2000-01,5989,4058,3431,42,2563
2000-02,4825,3916,3502,46,2776
2000-03,5083,3900,3361,50,2844
2000-04,3205,3813,3517,34,2250
2000-05,2628,3538,3558,29,1511
2000-06,2322,3571,3613,29,1633
2000-07,2145,3761,3610,25,1688
2000-08,2749,3681,3706,40,2850
2000-09,2966,3520,3681,44,4671
2000-10,4331,3786,3699,36,6225
2000-11,4233,4042,3685,45,7001
2000-12,4677,3331,2688,20,5984
2001-01,6161,3736,3488,45,2523
2001-02,4338,3708,3481,23,2719
2001-03,4950,3959,3593,40,3204
2001-04,3328,3750,3465,28,2306
2001-05,2768,3730,3461,35,1468
2001-06,2344,3881,3525,22,1603
2001-07,2391,3902,3428,29,1550
2001-08,2723,3690,3401,24,2567
2001-09,3536,4346,3659,38,4548
2001-10,5016,4202,3286,51,5559
2001-11,4605,4332,3382,34,6560
2001-12,5521,3944,3139,42,6400
2002-01,6416,3928,3299,24,2367
2002-02,4757,4065,3281,17,2591
2002-03,4612,3893,3253,19,3055
2002-04,3816,4055,3363,40,2354
2002-05,3114,4137,3253,13,1369
2002-06,2329,4134,3196,22,1291
2002-07,2735,4163,3275,43,1426
2002-08,3022,4330,3221,12,2351
2002-09,3649,4242,3005,18,3558
2002-10,4748,4123,3099,14,5187
2002-11,3951,4002,3047,32,6103
2002-12,6418,4255,3102,29,6586
2003-01,6834,4176,3284,18,2417
2003-02,4961,4221,3294,36,2684
2003-03,5134,4269,3374,23,3273
2003-04,4052,4284,3359,17,2338
2003-05,2986,4126,3479,8,1588
2003-06,2363,3976,3434,15,1483
2003-07,2719,4092,3463,25,1545
2003-08,2710,4124,3504,20,2588
2003-09,3671,4101,3561,17,3882
2003-10,4232,3775,3590,22,5711
2003-11,3913,4267,3647,16,6792
2003-12,7033,4370,3908,34,7760
2004-01,6460,4170,3697,27,2872
2004-02,4721,4035,3710,33,3149
2004-03,5797,4251,3641,34,3595
2004-04,3777,3988,3692,26,2586
2004-05,2933,4217,3702,18,1706
2004-06,2621,4116,3797,19,1781
2004-07,2742,4326,3772,26,1767
2004-08,2921,4211,3881,18,2875
2004-09,3756,4276,3764,30,3944
2004-10,4514,4551,3941,24,6047
2004-11,4146,4080,3642,23,6952
2004-12,6662,4187,3743,28,7734
2005-01,6519,4478,3697,32,2898
2005-02,5420,4590,3825,20,3303
2005-03,5840,4280,3818,31,3917
2005-04,3892,4299,3789,20,2701
2005-05,3304,4408,3827,20,1761
2005-06,2849,4380,3783,16,1694
2005-07,2621,4364,3818,18,1715
2005-08,3130,4255,3735,21,2554
2005-09,3582,4137,3621,29,3747
2005-10,4167,4248,3800,24,5758
2005-11,4399,4339,4197,26,7684
2005-12,6753,4567,4100,39,8110
2006-01,6719,4431,3984,34,3297
2006-02,5130,4408,3901,25,3403
2006-03,6033,4422,3968,34,4204
2006-04,3638,4143,3951,15,2899
2006-05,3434,4262,3868,19,1769
2006-06,2912,4381,3872,13,1775
2006-07,2585,4286,3838,16,1733
2006-08,3295,4444,3735,13,2599
2006-09,3733,4579,4183,11,4437
2006-10,4698,4582,3877,24,5694
2006-11,4572,4492,3725,20,7141
2006-12,6273,4645,4043,34,7691
2007-01,7045,4513,3723,13,3088
2007-02,4918,4314,3696,25,3221
2007-03,5461,4222,3645,32,3991
2007-04,4638,4787,3558,22,2594
2007-05,3568,4307,3578,18,1563
2007-06,2909,4538,3657,10,1647
2007-07,3014,4666,3631,8,1634
2007-08,3468,4646,3799,19,2822
2007-09,3659,4820,3485,14,3685
2007-10,4871,4574,3651,14,5261
2007-11,4686,4591,3599,33,6855
2007-12,6234,4873,3328,23,6371
2008-01,7250,4808,3554,27,2986
2008-02,5487,4579,3535,30,3184
2008-03,6271,5029,3593,38,4141
2008-04,5273,4985,3680,26,2931
2008-05,4277,5242,3660,30,1841
2008-06,3341,5077,3569,17,1663
2008-07,3616,5239,3613,32,1703
2008-08,3547,5322,3559,23,2610
2008-09,4578,5520,3673,17,3724
2008-10,5944,5681,3544,23,4906
2008-11,6159,6847,3722,41,6829
2008-12,8003,5935,3622,51,6248
2009-01,8498,6192,3785,35,3305
2009-02,7450,6411,3704,39,3526
2009-03,8919,6596,3683,62,4418
2009-04,7503,6969,3752,43,3095
2009-05,5292,6575,3625,32,1948
2009-06,4741,6526,3509,38,1771
2009-07,4411,6249,3538,29,1747
2009-08,4451,6570,3524,32,2608
2009-09,5119,6296,3434,29,3416
2009-10,6675,6872,3539,33,4700
2009-11,5560,6092,2513,27,5416
2009-12,8021,6320,3114,42,5570
2010-01,7530,5990,3269,36,2748
2010-02,7164,5985,3368,61,3259
2010-03,9436,6540,3469,73,4220
2010-04,7121,6680,3139,37,2442
2010-05,5685,6828,3369,44,1732
2010-06,5742,7688,3520,54,1938
2010-07,5048,7350,3389,50,1700
2010-08,5056,6888,3365,40,2496
2010-09,6080,7571,3383,35,3312
2010-10,6529,7334,3334,42,4289
2010-11,6884,7383,3447,40,6199
2010-12,9804,8142,3382,76,6065
2011-01,24976,19809,3517,86,3028
2011-02,17566,13839,3314,98,3332
2011-03,20254,13941,3448,91,4095
2011-04,12477,12491,3658,59,2984
2011-05,9298,10290,3448,46,1809
2011-06,7161,9670,3367,43,1803
2011-07,5939,8920,3474,37,1812
2011-08,7350,9148,3486,69,2629
2011-09,6848,8671,3526,88,3390
2011-10,7331,8483,3385,99,4192
2011-11,7947,8776,3536,134,6094
2011-12,8089,7578,3695,145,6670
2012-01,10390,7639,3496,142,3006
2012-02,11797,8363,3706,153,3884
2012-03,10534,7696,3380,162,3926
2012-04,8134,8057,3437,116,2712
2012-05,7411,7743,3536,72,1916
2012-06,5136,7556,3740,72,2177
2012-07,6372,8868,3679,73,2036
2012-08,6876,8333,3633,82,2810
2012-09,5352,7706,3548,81,3379
2012-10,7158,7466,3781,128,4538
2012-11,8611,9689,4861,157,7217
2012-12,10863,11213,5108,235,8121
2013-01,19235,13026,4888,344,4399
2013-02,15868,11367,3755,238,3995
2013-03,14410,11047,3753,195,4400
2013-04,12545,11578,3589,120,2947
2013-05,7502,7955,3479,78,2016
2013-06,6450,10259,3244,74,1713
2013-07,4991,6583,3196,82,1603
2013-08,5715,7303,3286,223,2519
2013-09,7423,10091,3336,153,3166
2013-10,7659,8003,3018,212,3696
2013-11,6490,7640,3082,196,5246
2013-12,6619,6561,2901,217,5671
2014-01,10269,7063,2954,214,2413
2014-02,9818,6770,2852,206,2939
2014-03,9748,7346,3014,237,3580
2014-04,7746,7133,2999,183,2379
