year_month,permit_unadjusted,permit_adjusted,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
1998-11,314,333.1793498,2,166,,0,0,,,,,,,,,,,,,,,,,,482
1998-12,7521,4397.742103,64,6572,,7,4,,,,,,,,,,,,,,,,,,14168
1999-01,5553,3812.04975,49,2538,,5,17,,,,,,,,,,,,,,,,,,8162
1999-02,4459,3853.792872,60,2692,,7,4,,,,,,,,,,,,,,,,,,7222
1999-03,4647,3671.984572,55,2984,,3,2,,,,,,,,,,,,,,,,,,7691
1999-04,3687,3906.809457,70,2258,,4,10,,,,,,,,,,,,,,,,,,6029
1999-05,2744,4096.916686,63,1594,,2,9,,,,,,,,,,,,,,,,,,4412
1999-06,2730,4114.654429,53,1636,,3,11,,,,,,,,,,,,,,,,,,4433
1999-07,2227,3731.656964,52,1854,,2,17,,,,,,,,,,,,,,,,,,4152
1999-08,2866,4001.63482,49,2902,,3,21,,,,,,,,,,,,,,,,,,5841
1999-09,3287,3737.332526,59,4845,,3,30,,,,,,,,,,,,,,,,,,8224
1999-10,4121,3806.984997,48,6840,,2,6,,,,,,,,,,,,,,,,,,11017
1999-11,3421,3386.95025,41,7507,,4,11,,,,,,,,,,,,,,,,,,10984
1999-12,6271,3815.909274,50,7721,,3,10,,,,,,,,,,,,,,,,,,14055
2000-01,5989,4057.81904,42,2563,,2,23,,,,,,,,,,,,,,,,,,8619
2000-02,4825,3916.191546,46,2776,,7,7,,,,,,,,,,,,,,,,,,7661
2000-03,5083,3899.865834,50,2844,,5,12,,,,,,,,,,,,,,,,,,7994
2000-04,3205,3812.946996,34,2250,,1,11,,,,,,,,,,,,,,,,,,5501
2000-05,2628,3538.205731,29,1511,,4,7,,,,,,,,,,,,,,,,,,4179
2000-06,2322,3570.638945,29,1633,,4,15,,,,,,,,,,,,,,,,,,4003
2000-07,2145,3761.138914,25,1688,,1,16,,,,,,,,,,,,,,,,,,3875
2000-08,2749,3681.249045,40,2850,,2,19,,,,,,,,,,,,,,,,,,5660
2000-09,2966,3519.550839,44,4671,,1,10,,,,,,,,,,,,,,,,,,7692
2000-10,4331,3785.669318,36,6225,,3,25,,,,,,,,,,,,,,,,,,10620
2000-11,4233,4041.626153,45,7001,,4,15,,,,,,,,,,,,,,,,,,11298
2000-12,4677,3331.241532,20,5984,,0,13,,,,,,,,,,,,,,,,,,10694
2001-01,6161,3735.988996,45,2523,,3,15,,,,,,,,,,,,,,,,,,8747
2001-02,4338,3708.142443,23,2719,,3,17,,,,,,,,,,,,,,,,,,7100
2001-03,4950,3958.699405,40,3204,,1,7,,,,,,,,,,,,,,,,,,8202
2001-04,3328,3749.803609,28,2306,,2,12,,,,,,,,,,,,,,,,,,5676
2001-05,2768,3730.069396,35,1468,,3,10,,,,,,,,,,,,,,,,,,4284
2001-06,2344,3880.853001,22,1603,,1,17,,,,,,,,,,,,,,,,,,3987
2001-07,2391,3902.046919,29,1550,,2,17,,,,,,,,,,,,,,,,,,3989
2001-08,2723,3689.921799,24,2567,,3,16,,,,,,,,,,,,,,,,,,5333
2001-09,3536,4346.117521,38,4548,,2,15,,,,,,,,,,,,,,,,,,8139
2001-10,5016,4202.363726,51,5559,,3,19,0,0,,0,13,,,,,,,,,,,,,10661
2001-11,4605,4331.660323,34,6560,,6,2,0,4,,5,202,,,,,,,,,,,,,11418
2001-12,5521,3943.640124,42,6400,,5,22,0,4,,5,123,,,,,,,,,,,,,12122
2002-01,6416,3928.459667,24,2367,,3,10,0,2,,8,170,,,,,,,,,,,,,9000
2002-02,4757,4064.886656,17,2591,,4,15,0,1,,8,251,,,,,,,,,,,,,7644
2002-03,4612,3892.630462,19,3055,,2,3,0,2,,4,181,,,,,,,,,,,,,7878
2002-04,3816,4054.956419,40,2354,,3,12,0,5,,2,134,,,,,,,,,,,,,6366
2002-05,3114,4136.985172,13,1369,,0,24,0,3,,2,117,,,,,,,,,,,,,4642
2002-06,2329,4133.917568,22,1291,,3,6,0,0,,1,131,,,,,,,,,,,,,3783
2002-07,2735,4163.211345,43,1426,,2,13,0,1,,5,123,,,,,,,,,,,,,4348
2002-08,3022,4329.708633,12,2351,,4,12,0,2,,7,148,,,,,,,,,,,,,5558
2002-09,3649,4241.710684,18,3558,,8,7,0,1,,6,180,,,,,,,,,,,,,7427
2002-10,4748,4123.163476,14,5187,,3,0,0,3,,4,240,,,,,,,,,,,,,10199
2002-11,3951,4002.18797,32,6103,,1,17,0,1,,1,189,,,,,,,,,,,,,10295
2002-12,6418,4254.86081,29,6586,,2,9,0,0,,2,172,,,,,,,,,,,,,13218
2003-01,6834,4175.962881,18,2417,,6,17,0,0,,3,174,,,,,,,,,,,,,9469
2003-02,4961,4221.111327,36,2684,,4,29,0,3,,1,200,,,,,,,,,,,,,7918
2003-03,5134,4269.241959,23,3273,,3,10,0,0,,3,143,,,,,,,,,,,,,8589
2003-04,4052,4283.507241,17,2338,,3,8,0,1,,1,148,,,,,,,,,,,,,6568
2003-05,2986,4125.978855,8,1588,,3,11,0,0,,1,146,,,,,,,,,,,,,4743
2003-06,2363,3975.663108,15,1483,,3,11,0,0,,2,129,,,,,,,,,,,,,4006
2003-07,2719,4092.370523,25,1545,,0,7,0,1,,4,137,,,,,,,,,,,,,4438
2003-08,2710,4123.674674,20,2588,,4,66,0,1,,1,149,,,,,,,,,,,,,5539
2003-09,3671,4101.387769,17,3882,,2,2,0,2,,4,155,,,,,,,,,,,,,7735
2003-10,4232,3774.845601,22,5711,,0,1,0,3,,2,223,,,,,,,,,,,,,10194
2003-11,3913,4266.902386,16,6792,,3,15,0,1,,0,185,,,,,,,,,,,,,10925
2003-12,7033,4369.877642,34,7760,,3,14,0,3,,1,155,,,,,,,,,,,,,15003
2004-01,6460,4169.579845,27,2872,,4,2,0,3,,5,169,,,,,,,,,,,,,9542
2004-02,4721,4034.744544,33,3149,,7,27,0,5,,2,211,,,,,,,,,,,,,8155
2004-03,5797,4251.498156,34,3595,,4,5,0,2,,1,136,,,,,,,,,,,,,9574
2004-04,3777,3987.9514,26,2586,,1,13,0,3,,3,143,,,,,,,,,,,,,6552
2004-05,2933,4217.292022,18,1706,,1,20,0,4,,2,125,,,,,,,,,,,,,4809
2004-06,2621,4115.802258,19,1781,,1,9,0,2,,2,125,,,,,,,,,,,,,4560
2004-07,2742,4325.726371,26,1767,,4,8,0,2,,3,136,,,,,,,,,,,,,4688
