year_month,permit_unadjusted,permit_adjusted,state,year,month,month.num,population,guns_per_thousand,guns_sold,multiplier,instore_purchases,handgun,longgun,other,multiple,multiple_corrected,admin,prepawn_handgun,prepawn_longgun,prepawn_other,redemption_handgun,redemption_longgun,redemption_other,returned_handgun,returned_longgun,returned_other,rental_handgun,rental_longgun,private_handgun,private_longgun,private_other,privatereturn_handgun,privatereturn_longgun,privatereturn_other,totals
2011-01,24976,19809.15062,Iowa,2011,January,01,3074186,1.117108724,3433,1.1,3122,86,3028,27,4,4,0,0,4,0,5,109,0,,,,,,,,,,,,28239
2011-03,20254,13940.65493,Iowa,2011,March,03,3074186,1.504983758,4625,1.1,4206,91,4095,22,10,10,1,0,0,0,4,143,1,,,,,,,,,,,,24621
2013-01,19235,13025.77222,Iowa,2013,January,01,3074186,1.70643546,5243,1.1,4769,344,4399,68,13,13,0,1,1,0,4,92,0,,,,,,,,,,,,24157
2011-02,17566,13839.23814,Iowa,2011,February,02,3074186,1.232326216,3787,1.1,3444,98,3332,26,7,7,0,0,2,0,4,191,0,,,,,,,,,,,,21226
2013-02,15868,11367.46884,Iowa,2013,February,02,3074186,1.520369945,4672,1.1,4249,238,3995,34,8,8,0,0,0,0,6,160,0,,,,,,,,,,,,20309
2013-03,14410,11046.60851,Iowa,2013,March,03,3074186,1.646321986,5061,1.1,4601,195,4400,33,3,3,0,0,0,0,1,134,0,,,,0,,,,,,,,19176
2015-02,13054,8611.582045,Iowa,2015,February,02,3074186,1.168634559,3591,1.1,3266,268,2984,35,7,7,0,0,0,0,1,106,2,0,0,0,,,0,0,0,0,0,0,16457
2013-04,12545,11578.48221,Iowa,2013,April,04,3074186,1.098859991,3378,1.1,3071,120,2947,22,2,2,0,0,0,0,2,96,0,,,,0,,,,,,,,15734
2011-04,12477,12490.6707,Iowa,2011,April,04,3074186,1.089556715,3349,1.1,3045,59,2984,21,1,1,4,0,1,0,3,116,0,,,,,,,,,,,,15666
2012-02,11797,8363.227043,Iowa,2012,February,02,3074186,1.451668832,4461,1.1,4057,153,3884,23,10,10,0,0,1,0,4,204,0,,,,,,,,,,,,16076
