year,Suicides,Population,State
1990,336,2781018,12.08
1991,334,2796613,11.94
1992,287,2818401,10.18
1993,318,2836972,11.21
1994,322,2850746,11.30
1995,336,2867373,11.72
1996,321,2880000,11.15
1997,345,2891119,11.93
1998,328,2902872,11.30
1999,302,2917634,10.35
2000,286,2928184,9.77
2001,304,2929424,10.38
2002,312,2929264,10.65
2003,350,2932799,11.93
2004,339,2941358,11.53
2005,331,2949450,11.22
2006,330,2964391,11.13
2007,322,2978719,10.81
2008,376,2993987,12.56
2009,356,3007856,11.84
2010,369,3050295,12.10
2011,420,3064904,13.70
2012,381,3075935,12.39
2013,445,3092341,14.39
2014,403,3017126,13.36
